trip_id,start_time,end_time,headway_secs
IT,6:00:00,7:00:00,900
IT,7:00:00,15:00:00,300
IT,15:00:00,20:00:00,360
IT,20:00:00,21:00:00,450
IT,21:00:00,24:00:00,900
TI,6:00:00,7:00:00,900
TI,7:00:00,15:00:00,300
TI,15:00:00,20:00:00,360
TI,20:00:00,21:00:00,450
TI,21:00:00,24:00:00,900
LT,6:00:00,7:00:00,900
LT,7:00:00,15:00:00,540
LT,15:00:00,20:00:00,720
LT,20:00:00,24:00:00,900
TL,6:00:00,7:00:00,900
TL,7:00:00,15:00:00,540
TL,15:00:00,20:00:00,720
TL,20:00:00,24:00:00,900
ITSA,0:00:00,7:00:00,1800
ITSA,7:00:00,9:00:00,1200
ITSA,9:00:00,10:00:00,900
ITSA,10:00:00,21:00:00,600
ITSA,21:00:00,22:00:00,900
ITSA,22:00:00,24:00:00,1200
TISA,0:00:00,7:00:00,1800
TISA,7:00:00,9:00:00,1200
TISA,9:00:00,10:00:00,900
TISA,10:00:00,21:00:00,600
TISA,21:00:00,22:00:00,900
TISA,22:00:00,24:00:00,1200
LTSA,6:00:00,7:00:00,1800
LTSA,7:00:00,9:00:00,1200
LTSA,9:00:00,10:00:00,900
LTSA,10:00:00,21:00:00,600
LTSA,21:00:00,22:00:00,900
LTSA,22:00:00,24:00:00,1200
TLSA,6:00:00,7:00:00,1800
TLSA,7:00:00,9:00:00,1200
TLSA,9:00:00,10:00:00,900
TLSA,10:00:00,21:00:00,600
TLSA,21:00:00,22:00:00,900
TLSA,22:00:00,24:00:00,1200
ITDO,0:00:00,1:00:00,1200
ITDO,1:00:00,9:00:00,1800
ITDO,9:00:00,11:00:00,1200
ITDO,11:00:00,21:00:00,900
ITDO,21:00:00,24:00:00,1800
TIDO,0:00:00,1:00:00,1200
TIDO,1:00:00,9:00:00,1800
TIDO,9:00:00,11:00:00,1200
TIDO,11:00:00,21:00:00,900
TIDO,21:00:00,24:00:00,1800
LTDO,6:00:00,9:00:00,1800
LTDO,9:00:00,11:00:00,1200
LTDO,11:00:00,20:00:00,900
LTDO,20:00:00,24:00:00,1800
TLDO,6:00:00,9:00:00,1800
TLDO,9:00:00,11:00:00,1200
TLDO,11:00:00,20:00:00,900
TLDO,20:00:00,24:00:00,1800
