shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Shape1,28.45893894,-16.25105038,0
Shape1,28.460501,-16.250073,1
Shape1,28.461185,-16.249311,2
Shape1,28.462181,-16.249014,3
Shape1,28.462825,-16.249083,4
Shape1,28.46451144,-16.2482308,5
Shape1,28.465357,-16.247845,6
Shape1,28.46628303,-16.2516372,7
Shape1,28.46731878,-16.2557679,8
Shape1,28.468095,-16.264367,9
Shape1,28.46775658,-16.26066277,10
Shape1,28.468129,-16.264335,11
Shape1,28.46784198,-16.26474376,12
Shape1,28.466020,-16.267007,13
Shape1,28.46435389,-16.27203173,14
Shape1,28.464143,-16.272775,15
Shape1,28.463040,-16.273500,16
Shape1,28.462513,-16.277590,17
Shape1,28.46206183,-16.27783832,18
Shape1,28.459625,-16.279076,19
Shape1,28.45734859,-16.28118555,20
Shape1,28.456640,-16.282086,21
Shape1,28.456258,-16.283620,22
Shape1,28.45330559,-16.28503032,23
Shape1,28.44907883,-16.28694351,24
Shape1,28.448320,-16.287207,25
Shape1,28.446849,-16.291232,26
Shape1,28.446514,-16.293143,27
Shape1,28.446622,-16.295236,28
Shape1,28.44692754,-16.29543796,29
Shape1,28.449012,-16.296090,30
Shape1,28.449500,-16.294954,31
Shape1,28.45167366,-16.29374333,32
Shape1,28.453480,-16.292935,33
Shape1,28.456685,-16.292886,34
Shape1,28.45757884,-16.29273265,35
Shape1,28.458490,-16.292619,36
Shape1,28.460715,-16.292802,37
Shape1,28.461264,-16.293332,38
Shape1,28.461387,-16.294693,39
Shape1,28.46359628,-16.29690095,40
Shape1,28.46874336,-16.30216762,41
Shape1,28.471413,-16.304858,42
Shape1,28.47338359,-16.30543852,43
Shape1,28.474550,-16.305771,44
Shape1,28.475454,-16.307994,45
Shape1,28.47636654,-16.30921226,46
Shape1,28.477755,-16.310918,47
Shape1,28.4796278,-16.31230388,48
Shape1,28.480395,-16.313031,49
Shape1,28.481062,-16.318123,50
Shape1,28.48223529,-16.31783851,51
Shape1,28.48579349,-16.31643223,52
Shape3,28.46707,-16.28602,0
Shape3,28.46235,-16.29104,1
Shape3,28.460715,-16.292802,2
Shape3,28.458490,-16.292619,3
Shape3,28.45757884,-16.29273265,4
Shape3,28.456685,-16.292886,5
Shape3,28.453480,-16.292935,6
Shape3,28.45167366,-16.29374333,7
Shape3,28.449500,-16.294954,8
Shape3,28.449012,-16.296090,9
Shape3,28.44787,-16.29814,10
Shape3,28.445674,-16.300059,11
Shape3,28.44376,-16.30459,12


Shape2,28.45893894,-16.25105038,52
Shape2,28.460501,-16.250073,51
Shape2,28.461185,-16.249311,50
Shape2,28.462181,-16.249014,49
Shape2,28.462825,-16.249083,48
Shape2,28.46451144,-16.2482308,47
Shape2,28.465357,-16.247845,46
Shape2,28.46628303,-16.2516372,45
Shape2,28.46731878,-16.2557679,44
Shape2,28.468095,-16.264367,43
Shape2,28.46775658,-16.26066277,42
Shape2,28.468129,-16.264335,41
Shape2,28.46784198,-16.26474376,40
Shape2,28.466020,-16.267007,39
Shape2,28.46435389,-16.27203173,38
Shape2,28.464143,-16.272775,37
Shape2,28.463040,-16.273500,36
Shape2,28.462513,-16.277590,35
Shape2,28.46206183,-16.27783832,34
Shape2,28.459625,-16.279076,33
Shape2,28.45734859,-16.28118555,32
Shape2,28.456640,-16.282086,31
Shape2,28.456258,-16.283620,30
Shape2,28.45330559,-16.28503032,29
Shape2,28.44907883,-16.28694351,28
Shape2,28.448320,-16.287207,27
Shape2,28.446849,-16.291232,26
Shape2,28.446514,-16.293143,25
Shape2,28.446622,-16.295236,24
Shape2,28.44692754,-16.29543796,23
Shape2,28.449012,-16.296090,22
Shape2,28.449500,-16.294954,21
Shape2,28.45167366,-16.29374333,20
Shape2,28.453480,-16.292935,19
Shape2,28.456685,-16.292886,18
Shape2,28.45757884,-16.29273265,17
Shape2,28.458490,-16.292619,16
Shape2,28.460715,-16.292802,15
Shape2,28.461264,-16.293332,14
Shape2,28.461387,-16.294693,13
Shape2,28.46359628,-16.29690095,12
Shape2,28.46874336,-16.30216762,11
Shape2,28.471413,-16.304858,10
Shape2,28.47338359,-16.30543852,9
Shape2,28.474550,-16.305771,8
Shape2,28.475454,-16.307994,7
Shape2,28.47636654,-16.30921226,6
Shape2,28.477755,-16.310918,5
Shape2,28.4796278,-16.31230388,4
Shape2,28.480395,-16.313031,3
Shape2,28.481062,-16.318123,2
Shape2,28.48223529,-16.31783851,1
Shape2,28.48579349,-16.31643223,0
Shape4,28.46707,-16.28602,12
Shape4,28.46235,-16.29104,11
Shape4,28.460715,-16.292802,10
Shape4,28.458490,-16.292619,9
Shape4,28.45757884,-16.29273265,8
Shape4,28.456685,-16.292886,7
Shape4,28.453480,-16.292935,6
Shape4,28.45167366,-16.29374333,5
Shape4,28.449500,-16.294954,4
Shape4,28.449012,-16.296090,3
Shape4,28.44787,-16.29814,2
Shape4,28.445674,-16.300059,1
Shape4,28.44376,-16.30459,0
