trip_id,arrival_time,departure_time,stop_id,stop_sequence
IT,6:00:00,6:00:00,01,1
IT,6:02:00,6:02:00,02,2
IT,6:04:00,6:04:00,03,3
IT,6:06:00,6:06:00,04,4
IT,6:07:00,6:07:00,05,5
IT,6:09:00,6:09:00,06,6
IT,6:11:00,6:11:00,07,7
IT,6:13:00,6:13:00,08,8
IT,6:15:00,6:15:00,09,9
IT,6:17:00,6:17:00,10,10
IT,6:19:00,6:19:00,11,11
IT,6:21:00,6:21:00,12,12
IT,6:23:00,6:23:00,13,13
IT,6:25:00,6:25:00,14,14
IT,6:27:00,6:27:00,15,15
IT,6:29:00,6:29:00,16,16
IT,6:30:00,6:30:00,17,17
IT,6:32:00,6:32:00,18,18
IT,6:33:00,6:33:00,19,19
IT,6:35:00,6:35:00,20,20
IT,6:37:00,6:37:00,21,21
LT,6:00:00,6:00:00,22,1
LT,6:01:00,6:01:00,23,2
LT,6:03:00,6:03:00,14,3
LT,6:05:00,6:05:00,13,4
LT,6:07:00,6:07:00,24,5
LT,6:09:00,6:09:00,26,6
TI,6:00:00,6:00:00,21,1
TI,6:02:00,6:02:00,20,2
TI,6:04:00,6:04:00,19,3
TI,6:05:00,6:05:00,18,4
TI,6:07:00,6:07:00,17,5
TI,6:08:00,6:08:00,16,6
TI,6:10:00,6:10:00,15,7
TI,6:12:00,6:12:00,14,8
TI,6:14:00,6:14:00,13,9
TI,6:16:00,6:16:00,12,10
TI,6:18:00,6:18:00,11,11
TI,6:20:00,6:20:00,10,12
TI,6:22:00,6:22:00,09,13
TI,6:24:00,6:24:00,08,14
TI,6:26:00,6:26:00,07,15
TI,6:28:00,6:28:00,06,16
TI,6:30:00,6:30:00,05,17
TI,6:31:00,6:31:00,04,18
TI,6:33:00,6:33:00,03,19
TI,6:35:00,6:35:00,02,20
TI,6:37:00,6:37:00,01,21
TL,6:00:00,6:00:00,26,1
TL,6:02:00,6:02:00,24,2
TL,6:04:00,6:04:00,13,3
TL,6:06:00,6:06:00,14,4
TL,6:08:00,6:08:00,23,5
TL,6:10:00,6:10:00,22,6
ITSA,0:00:00,0:00:00,01,1
ITSA,0:02:00,0:02:00,02,2
ITSA,0:04:00,0:04:00,03,3
ITSA,0:06:00,0:06:00,04,4
ITSA,0:07:00,0:07:00,05,5
ITSA,0:09:00,0:09:00,06,6
ITSA,0:11:00,0:11:00,07,7
ITSA,0:13:00,0:13:00,08,8
ITSA,0:15:00,0:15:00,09,9
ITSA,0:17:00,0:17:00,10,10
ITSA,0:19:00,0:19:00,11,11
ITSA,0:21:00,0:21:00,12,12
